businessname,latitude,longitude
Dunkin Donuts,42.34643657954137,-71.08760028795915
Dunkin Donuts,42.29691425822374,-71.06038900792855
Dunkin Donuts,42.36797170132648,-71.03030861630009
Dunkin Donuts,42.26857957745906,-71.09413072750384
Dunkin Donuts,42.334006193297206,-71.103679744565
Dunkin Donuts,42.35350710005597,-71.13347019964428
Dunkin Donuts,42.33662410778382,-71.14885076173655
Dunkin Donuts,42.28499953504584,-71.06484062492984
Dunkin Donuts,34.244386753001244,-73.6513909034731
Dunkin Donuts,42.36267681396418,-71.01863532762123
Dunkin Donuts,34.244386753001244,-73.6513909034731
Dunkin Donuts,42.27238236416635,-71.06779021521656
Dunkin Donuts,42.32827851439317,-71.08685563000911
Dunkin Donuts,42.34193231579431,-71.08650147389227
Dunkin Donuts,42.32301558386045,-71.10387762781981
Dunkin Donuts,34.244386753001244,-73.6513909034731
Dunkin Donuts,42.35668780743952,-71.05869080010329
Dunkin Donuts,42.34884539642663,-71.15291420896764
Dunkin Donuts,42.331113112328175,-71.11198737477663
Dunkin Donuts,42.375559513093904,-71.05391939900296
Dunkin Donuts,42.344120757398514,-71.04416404334403
Dunkin Donuts,42.28790226205592,-71.1270091337034
Dunkin Donuts,42.3558303442292,-71.06040124607891
Dunkin Donuts,42.32974952142475,-71.0573905085639
Dunkin Donuts,42.348498061300006,-71.09629137903872
Dunkin Donuts,42.35033966263912,-71.1669307080536
Dunkin Donuts,42.33715183966349,-71.07737850771755
Dunkin Donuts,42.35115951922637,-71.05667045885215
Dunkin Donuts,42.28382950936312,-71.04613058571289
Dunkin Donuts,42.34957353155361,-71.14797979563608
Dunkin Donuts,42.350555174765134,-71.06286129875404
Dunkin Donuts,42.335135058803736,-71.03563004086078
Dunkin Donuts,42.356579517918526,-71.05650044674205
Dunkin Donuts,42.29355951075699,-71.0478805681012
Dunkin' Donuts,42.33554462655568,-71.08818909305754
Dunkin' Donuts,42.36897739777082,-71.03920904147189
Dunkin' Donuts,42.317029263110975,-71.09801181101858
Dunkin' Donuts,42.33781286409094,-71.10907942202104
Dunkin' Donuts,34.244386753001244,-73.6513909034731
Dunkin' Donuts,42.3581375817645,-71.0581491470556
Dunkin' Donuts,42.329369557812456,-71.08446057114567
Dunkin' Donuts,42.32086952614429,-71.06091053648244
Dunkin' Donuts,42.37973947794442,-71.0266903279344
Dunkin' Donuts,42.2955596050008,-71.11610071715454
Dunkin' Donuts,42.3217903332646,-71.05698062595857
Dunkin' Donuts,42.38588945517175,-71.00835027335525
DUNKIN DONUTS',42.360690517127736,-71.056346437433
DUNKIN DONUTS',42.34729635619704,-71.08145798177236
DUNKIN DONUTS',42.33204460533301,-71.07372671413931
DUNKIN' DONUTS,42.35908355763858,-71.05952684289639
DUNKIN' DONUTS #0311,42.33472266119154,-71.07348908625376
Dunkin Donuts/1138 Washington St.,42.34369467809378,-71.06584182228112
Dunkin Donuts (209 North Harvard St.),42.36258116780801,-71.13070909156224
Dunkin Donuts (219 Cambridge),42.35822460841821,-71.12625659936556
Dunkin Donuts(757 Centre St.),42.31044433413774,-71.11518102023138
Dunkin Donuts (895 Morton St.),42.28043961692847,-71.0841397945687
Dunkin Donuts/Airside,42.36687535467529,-71.02090590937233
DUNKIN DONUTS (ALLSTON),42.35341946892228,-71.13847025930997
Dunkin Donuts-Amer Airlines/Landside,34.244386753001244,-73.6513909034731
